Name,Search,Experiment,Valid
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr5,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr3,S1,HeLa_PXD000612,TRUE
20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr6,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr2,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT2,S1,HeLa_PXD000612,TRUE
20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT2,S1,HeLa_PXD000612,TRUE
20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT1,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr4,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT1,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr6,S1,HeLa_PXD000612,TRUE
20120216_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_FT3,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr1,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_FT3,S1,HeLa_PXD000612,TRUE
20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr5,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_FT1,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_Fr2,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_FT2,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_FT2,S1,HeLa_PXD000612,TRUE
20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr4,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_Fr1,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_Fr3,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr5,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr6,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_FT3,S1,HeLa_PXD000612,TRUE
20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr3,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr6,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_FT3,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr5,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_Fr4,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_Noco_rep4,S1,HeLa_PXD000612,TRUE
20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr2,S1,HeLa_PXD000612,TRUE
20120215_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep3_Fr1,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT2,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_Noco_rep3,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr5,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_Fr1,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT2,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr4,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr5,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_Noco_rep2,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT3,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr4,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_Fr5,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr6,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT1,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_FT2,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr2,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr3,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr3,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr1,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_Fr6,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr3,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_Fr2,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr2,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr4,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr2,S1,HeLa_PXD000612,TRUE
20120225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep2_FT1,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_Fr3,S1,HeLa_PXD000612,TRUE
20120217_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep4_Fr6,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_EGF5_rep4,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr4,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_EGF5_rep2,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_EGF5_rep3,S1,HeLa_PXD000612,TRUE
20120413_EXQ5_KiSh_SA_LabelFree_HeLa_pY_pervandate_rep2,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_FT1,S1,HeLa_PXD000612,TRUE
20120224_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep1_Fr1,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT1,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT2,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT3,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr2,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr3,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr1,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_Noco_rep1,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_FT1,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr1,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_FT3,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_FT3,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_Fr1,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr5,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_FT3,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr1,S1,HeLa_PXD000612,TRUE
20120323_EXQ5_KiSh_SA_LabelFree_HeLa_pY_pervandate_rep1,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT2,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_FT2,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr1,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_FT2,S1,HeLa_PXD000612,TRUE
20120413_EXQ5_KiSh_SA_LabelFree_HeLa_pY_pervandate_rep3,S1,HeLa_PXD000612,TRUE
20120413_EXQ5_KiSh_SA_LabelFree_HeLa_pY_pervandate_rep4,S1,HeLa_PXD000612,TRUE
20120414_EXQ5_KiSh_SA_LabelFree_HeLa_pY_control_rep4,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_FT2,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr3,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_Fr4,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr2,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT1,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_FT3a,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr2,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr2,S1,HeLa_PXD000612,TRUE
20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT3,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr6,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr6,S1,HeLa_PXD000612,TRUE
20120414_EXQ5_KiSh_SA_LabelFree_HeLa_pY_control_rep5,S1,HeLa_PXD000612,TRUE
20120414_EXQ5_KiSh_SA_LabelFree_HeLa_pY_control_rep6,S1,HeLa_PXD000612,TRUE
20120202_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr1,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr6,S1,HeLa_PXD000612,TRUE
20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT1,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr3,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr4,S1,HeLa_PXD000612,TRUE
20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr6,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_Fr2,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_Fr6,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr1,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr3,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr5,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr3,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr4,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr5,S1,HeLa_PXD000612,TRUE
20120415_EXQ5_KiSh_SA_LabelFree_HeLa_pY_EGF5_rep1,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr5,S1,HeLa_PXD000612,TRUE
20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT3,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_FT1,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr4,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr2,S1,HeLa_PXD000612,TRUE
20120127_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep2_Fr5,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr3,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_Fr3,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_FT1,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr1,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr4,S1,HeLa_PXD000612,TRUE
20120227_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep3_Fr5,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT3,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_FT3,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_FT2,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr4,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr2,S1,HeLa_PXD000612,TRUE
20120126_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep1_Fr6,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_Fr5,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_Fr4,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT2,S1,HeLa_PXD000612,TRUE
20120309_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_EGF_rep4_Fr6,S1,HeLa_PXD000612,TRUE
20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT1,S1,HeLa_PXD000612,TRUE
20120822_QE4_LC7_CFR_SA_HeLa_CETa_pY_01_01,S2,HeLa_PXD003523,TRUE
20120822_QE4_LC7_CFR_SA_HeLa_CETa_pY_01_02,S2,HeLa_PXD003523,TRUE
20120822_QE4_LC7_CFR_SA_HeLa_CETa_pY_08_01,S2,HeLa_PXD003523,TRUE
20120822_QE4_LC7_CFR_SA_HeLa_CETa_pY_08_02,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_01_01_01,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_01_01_02,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_01_02_01,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_01_02_02,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_08_01_01,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_08_01_02,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_08_02_01,S2,HeLa_PXD003523,TRUE
20120822_QE5_LC2_CFR_SA_HeLa_CETa_TiO2_08_02_02,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_pY100_40_03,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_pY100_40_04,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_pY100_90_03,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_pY100_90_04,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_TiO2_40_03_01,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_TiO2_40_03_02,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_TiO2_40_04_01,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_TiO2_40_04_02,S2,HeLa_PXD003523,TRUE
20121027_QE6_LC4_CFR_SA_CETa_TiO2_90_03_01,S2,HeLa_PXD003523,TRUE
