Project_ID,dataset_link,Pubmed,pub_link,isInstrumentOK,isEnriched,phosphatase_inhib,biological_sample,cell_type,primary_type,labelling,labeltype,enzymes,fixed_modifications,variable_modifications,Tissue annotation (as provided by the user- so be careful as might be incorrect),PROJECT.size,Title,Description snipped,Publication_date,Submission Type,No of ASSAY files(applicable for COMPLETE only),PTM annotation (as provided by the user- so be careful as might be incorrect),MS instrument annotation (as provided by the user- so be careful as might be incorrect),Internal PRIDE Tag (curated)
PXD000612,https://www.ebi.ac.uk/pride/archive/projects/PXD000612,25159151,http://europepmc.org/abstract/MED/25159151,TRUE,TiO2 + anti-P-Tyr,FALSE,HeLa S3,HeLa,Cervical,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",605.8,Ultra-deep human phosphoproteome reveals different regulatory nature of Tyr and Ser/Thr-based signaling,Regulatory protein phosphorylation controls nearly every normal,2014-08-06,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biological""]"
PXD003523,https://www.ebi.ac.uk/pride/archive/projects/PXD003523,27136326,http://europepmc.org/abstract/MED/27136326,TRUE,TiO2 + anti-P-Tyr,FALSE,HeLa,HeLa,Cervical,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox"",""pyro-glu""]",[],174.13,Multi-layered proteomics of EGFR signaling,We developed a new MS-based proteomics method to uncover signali,2016-05-03,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biological""]"
PXD001305,https://www.ebi.ac.uk/pride/archive/projects/PXD001305,25349961,http://europepmc.org/abstract/MED/25349961,TRUE,TiO2,FALSE,HeLa,HeLa,Cervical,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox"",""pyro-glu""]","[""cell culture""]",155.29,Rapid and Deep Proteomes by Faster Sequencing on a Benchtop Quadrupole Ultra-High-Field Orbitrap Mass Spectrometer,The faster sequencing speed available on the latest Q Exactive H,2014-10-31,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive HF"",""Q Exactive""]","[""PRIME-XS Project"",""Biomedical""]"
PXD001603,https://www.ebi.ac.uk/pride/archive/projects/PXD001603,27174698,http://europepmc.org/abstract/MED/27174698,TRUE,TiO2,FALSE,HeLa S3 (clathrin depleted cells),HeLa,Cervical,label-free & dimethyl,"[""DiMe8"",""DiMe4""]","[""Trypsin""]","[""carbamidomethylation"",""DiMe8"",""DiMe4""]","[""pSTY"",""deamidation"",""Meth_ox""]",[],117.11,Signaling pathways altered at the mitotic spindle in clathrin depleted cells,We present a snapshot of the regulation of mitotic-spindle prote,2016-05-17,PARTIAL,0,"[""phosphorylated residue"",""monohydroxylated residue"",""deamidated residue"",""acetylated residue""]","[""LTQ Orbitrap Velos""]","[""Biological""]"
PXD001196,https://www.ebi.ac.uk/pride/archive/projects/PXD001196,25907765,http://europepmc.org/abstract/MED/25907765,TRUE,TiO2,FALSE,HeLa alpha-Kyoto cells (related to PXD001244),HeLa,Cervical,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",[],96.93,Functional proteomics identifies acinus L as a direct insulin- and amino acid-dependent mTORC1 substrate,The serine/threonine kinase mammalian target of rapamycin (mTOR),2015-04-28,PARTIAL,0,"[""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ FT""]","[""Biomedical""]"
PXD005366,https://www.ebi.ac.uk/pride/archive/projects/PXD005366,28107008,http://europepmc.org/abstract/MED/28107008,TRUE,TiO2 + IMAC,FALSE,HeLa (plus rat hipocampal neurons),HeLa,Cervical,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",[],77.05,"Robust, sensitive and automated phosphopeptide enrichment optimized for low sample amounts applied to primary hippocampal neurons","Due to the low stoichiometry of protein phosphorylation, targete",2016-12-14,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Technical"",""Biological""]"
PXD000293,https://www.ebi.ac.uk/pride/archive/projects/PXD000293,24850871,http://europepmc.org/abstract/MED/24850871,TRUE,TiO2 + IMAC,FALSE,HeLa (Jurkat cells in another entry),HeLa,Cervical,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture"",""cell suspension culture""]",69.9,Ti4+-IMAC label-free quantification,We combine high-resolution mass spectrometry with Ti4+-IMAC phos,2014-05-21,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""LTQ Orbitrap Elite""]","[""PRIME-XS Project"",""Biological""]"
PXD001333,https://www.ebi.ac.uk/pride/archive/projects/PXD001333,25827581,http://europepmc.org/abstract/MED/25827581,TRUE,ERLIC and AEX,FALSE,HeLa,HeLa,Cervical,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""HeLa cell""]",59.62,Anion-Exchange Chromatography of Tryptic and Phosphopeptides: WAX vs. SAX and AEX vs. ERLIC,"At a pH > 5, phosphopeptides have two negative charges per resi",2015-04-23,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biomedical""]"
PXD002704,https://www.ebi.ac.uk/pride/archive/projects/PXD002704,27281782,http://europepmc.org/abstract/MED/27281782,TRUE,TiO2 + CysPat,FALSE,HeLa,HeLa,Cervical,label-free & SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]",,"[""pSTY"",""N-acetylation"",""Meth_ox"",""deamidation"",""SIA_for_CysPat"",""NEM_for_Cys""]","[""cell culture""]",54.34,Ssimultaneous enrichment of cysteine-containing peptides and phosphopeptides using a novel Cysteine-specific Phosphonate Adaptable Tag (CysPAT) in combination with TiO2 chromatography,Cysteine is a rare and conserved amino acid involved in most cel,2016-06-13,PARTIAL,0,"[""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap Velos""]","[""Technical""]"
PXD001374,https://www.ebi.ac.uk/pride/archive/projects/PXD001374,26278961,http://europepmc.org/abstract/MED/26278961,TRUE,TiO2,FALSE,HeLa,HeLa,Cervical,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""HeLa cell""]",50.58,Label-free quantitative phosphoproteomics with novel pairwise abundance normalization reveals synergistic RAS and CIP2A signaling,Label-free quantification is a powerful method for studying cel,2015-08-24,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""Q Exactive""]","[""Biomedical""]"
